Year,0-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
2000,2368725,537901,508743,426021,384689,378095,372858,344023,212459,212894,180645,166087,137155,72931,46376,19664
2001,2410484,537413,525666,445990,391012,381286,374027,354481,238621,210885,188176,164112,142203,78628,45080,20753
2002,2446096,540472,536421,465641,395277,383772,373244,358559,272339,203827,194409,166401,142032,88330,41639,22638
2003,2480646,547156,542681,482402,403632,384529,374549,364715,300937,197322,201633,164946,142578,95803,41040,23833
2004,2518283,553635,546171,499069,414018,386622,376963,371634,322024,199347,205190,165946,140898,102741,41542,25450
2005,2555189,560597,545297,514790,429777,387320,380058,372821,342547,209212,206319,166650,142778,105816,46193,25358
2006,2595475,568546,542583,529053,447900,391939,381577,372549,350738,234287,202948,173607,140875,109801,50269,24545
2007,2639937,572536,545404,539236,467211,395889,383264,371006,353908,267084,195511,179633,143428,109288,56840,23459
2008,2656731,576292,562566,546263,493082,418719,395540,380001,365513,297681,192422,188747,144206,110625,62100,28595
2009,2704692,578230,567779,550780,508221,428667,398417,383534,372258,318474,194850,192516,146064,110542,67019,30006
2010,2758619,580065,576116,548600,522855,443110,400493,387863,374456,339492,205289,194179,147766,113196,69808,33166
2011,2811891,586810,578085,552588,534503,459391,406142,389879,374107,347749,229952,192259,153795,112452,72229,34761
2012,2869361,593726,581203,557794,544121,478681,409592,392397,374116,350544,262847,185043,160195,115024,72408,37409
2013,2926594,599833,583020,568122,549110,494495,419058,394004,375960,358686,288391,180689,167582,114980,73555,40390
2014,2988641,605784,587165,574922,554744,510815,430081,397913,380427,366318,310066,183820,172064,117042,73877,43195
2015,3054108,611726,593009,581348,558228,526064,445081,400709,385219,368989,331069,194233,173878,119171,75483,45108
2016,3115605,620114,599085,588123,559273,539508,463192,407517,388121,369669,339745,218484,172808,124916,75566,46867
2017,3177912,630272,606803,592460,565613,550128,483445,411787,391459,370196,343012,250670,167007,131426,77852,47897
2018,3235396,643736,613678,595791,577150,556290,500471,422191,393908,372665,351031,275492,163434,138415,78371,49571
2019,3292329,657293,620341,601239,585147,563109,517659,434212,398475,377214,358166,295987,166161,142455,80092,50589
2020,3292329,657293,620341,601239,585147,563109,517659,434212,398475,377214,358166,295987,166161,142455,80092,50589
